condition,doc_id,persona_id,risk_tier,domain,issue,domain_pred,issue_pred,issue_phrase_present,semantic_slot_score,placeholder_rate
original,P0001_D01,P0001,T2,healthcare,insurance_question,healthcare,refill_request,1.0,0.75,0.0
original,P0001_D02,P0001,T2,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0001_D03,P0001,T2,financial,account_correction,financial,account_correction,1.0,1.0,0.0
original,P0001_D04,P0001,T2,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0002_D01,P0002,T3,healthcare,refill_request,healthcare,refill_request,1.0,0.75,0.0
original,P0002_D02,P0002,T3,legal,benefits_appeal,legal,housing_issue,1.0,0.75,0.0
original,P0002_D03,P0002,T3,financial,fraud_inquiry,financial,payment_deferral,1.0,1.0,0.0
original,P0002_D04,P0002,T3,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0003_D01,P0003,T1,healthcare,symptom_followup,healthcare,symptom_followup,1.0,1.0,0.0
original,P0003_D02,P0003,T1,legal,housing_issue,legal,employment_dispute,1.0,1.0,0.0
original,P0003_D03,P0003,T1,financial,fraud_inquiry,financial,fraud_inquiry,1.0,1.0,0.0
original,P0003_D04,P0003,T1,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0004_D01,P0004,T2,healthcare,appointment_scheduling,healthcare,refill_request,1.0,0.75,0.0
original,P0004_D02,P0004,T2,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0004_D03,P0004,T2,financial,account_correction,financial,hardship_request,1.0,1.0,0.0
original,P0004_D04,P0004,T2,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0006_D01,P0006,T1,healthcare,appointment_scheduling,healthcare,symptom_followup,1.0,1.0,0.0
original,P0006_D02,P0006,T1,legal,employment_dispute,legal,employment_dispute,1.0,1.0,0.0
original,P0006_D03,P0006,T1,financial,payment_deferral,financial,payment_deferral,1.0,1.0,0.0
original,P0006_D04,P0006,T1,hr,benefits_question,hr,benefits_question,1.0,1.0,0.0
original,P0007_D01,P0007,T2,healthcare,refill_request,healthcare,refill_request,1.0,0.75,0.0
original,P0007_D02,P0007,T2,legal,consumer_complaint,legal,housing_issue,1.0,0.75,0.0
original,P0007_D03,P0007,T2,financial,payment_deferral,financial,hardship_request,1.0,1.0,0.0
original,P0007_D04,P0007,T2,hr,benefits_question,hr,benefits_question,1.0,1.0,0.0
original,P0008_D01,P0008,T3,healthcare,symptom_followup,healthcare,symptom_followup,1.0,0.75,0.0
original,P0008_D02,P0008,T3,legal,housing_issue,legal,housing_issue,1.0,1.0,0.0
original,P0008_D03,P0008,T3,financial,account_correction,financial,payment_deferral,1.0,1.0,0.0
original,P0008_D04,P0008,T3,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0009_D01,P0009,T1,healthcare,symptom_followup,healthcare,symptom_followup,1.0,1.0,0.0
original,P0009_D02,P0009,T1,legal,consumer_complaint,legal,employment_dispute,1.0,1.0,0.0
original,P0009_D03,P0009,T1,financial,payment_deferral,financial,payment_deferral,1.0,1.0,0.0
original,P0009_D04,P0009,T1,hr,accommodation_request,hr,benefits_question,1.0,1.0,0.0
original,P0011_D01,P0011,T3,healthcare,insurance_question,healthcare,refill_request,1.0,0.75,0.0
original,P0011_D02,P0011,T3,legal,benefits_appeal,legal,employment_dispute,1.0,1.0,0.0
original,P0011_D03,P0011,T3,financial,account_correction,financial,payment_deferral,1.0,1.0,0.0
original,P0011_D04,P0011,T3,hr,schedule_change,hr,leave_request,1.0,0.75,0.0
original,P0012_D01,P0012,T1,healthcare,refill_request,healthcare,symptom_followup,1.0,1.0,0.0
original,P0012_D02,P0012,T1,legal,housing_issue,legal,employment_dispute,1.0,1.0,0.0
original,P0012_D03,P0012,T1,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0012_D04,P0012,T1,hr,accommodation_request,hr,benefits_question,1.0,1.0,0.0
original,P0013_D01,P0013,T2,healthcare,refill_request,healthcare,refill_request,1.0,0.75,0.0
original,P0013_D02,P0013,T2,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0013_D03,P0013,T2,financial,fraud_inquiry,financial,hardship_request,1.0,1.0,0.0
original,P0013_D04,P0013,T2,hr,benefits_question,hr,benefits_question,1.0,1.0,0.0
original,P0014_D01,P0014,T3,healthcare,insurance_question,healthcare,symptom_followup,1.0,0.75,0.0
original,P0014_D02,P0014,T3,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0014_D03,P0014,T3,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0014_D04,P0014,T3,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0016_D01,P0016,T2,healthcare,insurance_question,healthcare,refill_request,1.0,0.75,0.0
original,P0016_D02,P0016,T2,legal,employment_dispute,legal,employment_dispute,1.0,0.75,0.0
original,P0016_D03,P0016,T2,financial,account_correction,financial,hardship_request,1.0,1.0,0.0
original,P0016_D04,P0016,T2,hr,leave_request,hr,benefits_question,1.0,1.0,0.0
original,P0017_D01,P0017,T3,healthcare,appointment_scheduling,healthcare,appointment_scheduling,1.0,0.75,0.0
original,P0017_D02,P0017,T3,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0017_D03,P0017,T3,financial,payment_deferral,financial,payment_deferral,1.0,1.0,0.0
original,P0017_D04,P0017,T3,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0018_D01,P0018,T1,healthcare,refill_request,healthcare,refill_request,1.0,1.0,0.0
original,P0018_D02,P0018,T1,legal,consumer_complaint,legal,employment_dispute,1.0,1.0,0.0
original,P0018_D03,P0018,T1,financial,payment_deferral,financial,payment_deferral,1.0,1.0,0.0
original,P0018_D04,P0018,T1,hr,benefits_question,hr,benefits_question,1.0,1.0,0.0
original,P0019_D01,P0019,T2,healthcare,insurance_question,healthcare,refill_request,1.0,0.75,0.0
original,P0019_D02,P0019,T2,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0019_D03,P0019,T2,financial,account_correction,financial,hardship_request,1.0,1.0,0.0
original,P0019_D04,P0019,T2,hr,benefits_question,hr,benefits_question,1.0,1.0,0.0
original,P0021_D01,P0021,T1,healthcare,insurance_question,healthcare,symptom_followup,1.0,1.0,0.0
original,P0021_D02,P0021,T1,legal,benefits_appeal,legal,employment_dispute,1.0,1.0,0.0
original,P0021_D03,P0021,T1,financial,fraud_inquiry,financial,fraud_inquiry,1.0,1.0,0.0
original,P0021_D04,P0021,T1,hr,accommodation_request,hr,accommodation_request,1.0,1.0,0.0
original,P0022_D01,P0022,T2,healthcare,symptom_followup,healthcare,refill_request,1.0,0.75,0.0
original,P0022_D02,P0022,T2,legal,benefits_appeal,legal,housing_issue,1.0,0.75,0.0
original,P0022_D03,P0022,T2,financial,payment_deferral,financial,payment_deferral,1.0,1.0,0.0
original,P0022_D04,P0022,T2,hr,accommodation_request,hr,benefits_question,1.0,1.0,0.0
original,P0023_D01,P0023,T3,healthcare,refill_request,healthcare,refill_request,1.0,0.75,0.0
original,P0023_D02,P0023,T3,legal,employment_dispute,legal,employment_dispute,1.0,0.75,0.0
original,P0023_D03,P0023,T3,financial,account_correction,financial,payment_deferral,1.0,1.0,0.0
original,P0023_D04,P0023,T3,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0024_D01,P0024,T1,healthcare,insurance_question,healthcare,symptom_followup,1.0,1.0,0.0
original,P0024_D02,P0024,T1,legal,benefits_appeal,legal,employment_dispute,1.0,1.0,0.0
original,P0024_D03,P0024,T1,financial,fraud_inquiry,financial,hardship_request,1.0,1.0,0.0
original,P0024_D04,P0024,T1,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0026_D01,P0026,T3,healthcare,refill_request,healthcare,refill_request,1.0,0.75,0.0
original,P0026_D02,P0026,T3,legal,benefits_appeal,legal,housing_issue,1.0,0.75,0.0
original,P0026_D03,P0026,T3,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0026_D04,P0026,T3,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0027_D01,P0027,T1,healthcare,insurance_question,healthcare,symptom_followup,1.0,1.0,0.0
original,P0027_D02,P0027,T1,legal,benefits_appeal,legal,employment_dispute,1.0,1.0,0.0
original,P0027_D03,P0027,T1,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0027_D04,P0027,T1,hr,accommodation_request,hr,benefits_question,1.0,1.0,0.0
original,P0028_D01,P0028,T2,healthcare,appointment_scheduling,healthcare,refill_request,1.0,0.75,0.0
original,P0028_D02,P0028,T2,legal,consumer_complaint,legal,employment_dispute,1.0,0.75,0.0
original,P0028_D03,P0028,T2,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0028_D04,P0028,T2,hr,benefits_question,hr,benefits_question,1.0,1.0,0.0
original,P0029_D01,P0029,T3,healthcare,symptom_followup,healthcare,symptom_followup,1.0,0.75,0.0
original,P0029_D02,P0029,T3,legal,benefits_appeal,legal,benefits_appeal,1.0,0.75,0.0
original,P0029_D03,P0029,T3,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0029_D04,P0029,T3,hr,benefits_question,hr,benefits_question,1.0,0.75,0.0
original,P0031_D01,P0031,T2,healthcare,appointment_scheduling,healthcare,refill_request,1.0,0.75,0.0
original,P0031_D02,P0031,T2,legal,employment_dispute,legal,employment_dispute,1.0,0.75,0.0
original,P0031_D03,P0031,T2,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0031_D04,P0031,T2,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0032_D01,P0032,T3,healthcare,insurance_question,healthcare,refill_request,1.0,0.5,0.0
original,P0032_D02,P0032,T3,legal,employment_dispute,legal,employment_dispute,1.0,1.0,0.0
original,P0032_D03,P0032,T3,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0032_D04,P0032,T3,hr,benefits_question,hr,leave_request,1.0,0.75,0.0
original,P0033_D01,P0033,T1,healthcare,symptom_followup,healthcare,symptom_followup,1.0,1.0,0.0
original,P0033_D02,P0033,T1,legal,consumer_complaint,legal,employment_dispute,1.0,1.0,0.0
original,P0033_D03,P0033,T1,financial,account_correction,financial,hardship_request,1.0,1.0,0.0
original,P0033_D04,P0033,T1,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0034_D01,P0034,T2,healthcare,appointment_scheduling,healthcare,refill_request,1.0,0.75,0.0
original,P0034_D02,P0034,T2,legal,employment_dispute,legal,employment_dispute,1.0,0.75,0.0
original,P0034_D03,P0034,T2,financial,fraud_inquiry,financial,hardship_request,1.0,1.0,0.0
original,P0034_D04,P0034,T2,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0036_D01,P0036,T1,healthcare,symptom_followup,healthcare,symptom_followup,1.0,1.0,0.0
original,P0036_D02,P0036,T1,legal,housing_issue,legal,employment_dispute,1.0,1.0,0.0
original,P0036_D03,P0036,T1,financial,account_correction,financial,hardship_request,1.0,1.0,0.0
original,P0036_D04,P0036,T1,hr,accommodation_request,hr,benefits_question,1.0,1.0,0.0
original,P0037_D01,P0037,T2,healthcare,refill_request,healthcare,refill_request,1.0,0.75,0.0
original,P0037_D02,P0037,T2,legal,benefits_appeal,legal,housing_issue,1.0,0.75,0.0
original,P0037_D03,P0037,T2,financial,hardship_request,financial,hardship_request,1.0,1.0,0.0
original,P0037_D04,P0037,T2,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0038_D01,P0038,T3,healthcare,symptom_followup,healthcare,symptom_followup,1.0,0.5,0.0
original,P0038_D02,P0038,T3,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
original,P0038_D03,P0038,T3,financial,account_correction,financial,payment_deferral,1.0,1.0,0.0
original,P0038_D04,P0038,T3,hr,benefits_question,hr,benefits_question,1.0,0.75,0.0
original,P0039_D01,P0039,T1,healthcare,refill_request,healthcare,symptom_followup,1.0,1.0,0.0
original,P0039_D02,P0039,T1,legal,consumer_complaint,legal,employment_dispute,1.0,1.0,0.0
original,P0039_D03,P0039,T1,financial,account_correction,financial,hardship_request,1.0,1.0,0.0
original,P0039_D04,P0039,T1,hr,leave_request,hr,leave_request,1.0,1.0,0.0
original,P0041_D01,P0041,T3,healthcare,insurance_question,healthcare,symptom_followup,1.0,0.75,0.0
original,P0041_D02,P0041,T3,legal,consumer_complaint,legal,employment_dispute,1.0,0.75,0.0
original,P0041_D03,P0041,T3,financial,account_correction,financial,payment_deferral,1.0,1.0,0.0
original,P0041_D04,P0041,T3,hr,benefits_question,hr,benefits_question,1.0,0.75,0.0
original,P0042_D01,P0042,T1,healthcare,symptom_followup,healthcare,symptom_followup,1.0,1.0,0.0
original,P0042_D02,P0042,T1,legal,housing_issue,legal,employment_dispute,1.0,1.0,0.0
original,P0042_D03,P0042,T1,financial,payment_deferral,financial,payment_deferral,1.0,1.0,0.0
original,P0042_D04,P0042,T1,hr,schedule_change,hr,benefits_question,1.0,1.0,0.0
original,P0043_D01,P0043,T2,healthcare,appointment_scheduling,healthcare,refill_request,1.0,0.75,0.0
original,P0043_D02,P0043,T2,legal,housing_issue,legal,housing_issue,1.0,0.75,0.0
