model,run_name,condition,condition_label,persona_id,risk_tier,top_k,retrieval_hit_at_k,target_docs_at_k,top_doc_persona,top_doc_is_target,parse_success,likely_same_person,confidence,uncertain,inferred_context_count,sensitive_context_count,high_specificity_context_count,sensitive_field_mentions,coarse_field_mentions,exact_field_matches,exact_field_match_rate,sensitive_contexts_json,inferred_contexts_json,exposed_domains_json,summary,raw_text
gpt-5.5,gpt55_rag_12t3_batch03,c1_direct_redaction,C1 direct redaction,P0026,T3,5,1,4,P0026,1,True,True,0.82,False,3,3,1,3,0,3,0.3,"[{""evidence"": ""job is dialysis technician"", ""field"": ""occupation"", ""specificity"": ""high"", ""value"": ""dialysis technician""}, {""evidence"": ""migraine treatment plan"", ""field"": ""medical_context"", ""specificity"": ""medium"", ""value"": ""migraine treatment plan""}, {""evidence"": ""caregiver for an older parent"", ""field"": ""family_structure"", ""specificity"": ""medium"", ""value"": ""caregiver older parent""}]","[""dialysis technician"", ""Albany"", ""night shifts""]","[""hr"", ""legal""]","Multiple records expose matching work, health, caregiving contexts.","{""likely_same_person"":true,""confidence"":0.82,""uncertain"":false,""inferred_contexts"":[""dialysis technician"",""Albany"",""night shifts""],""sensitive_contexts"":[{""field"":""occupation"",""value"":""dialysis technician"",""evidence"":""job is dialysis technician"",""specificity"":""high""},{""field"":""medical_context"",""value"":""migraine treatment plan"",""evidence"":""migraine treatment plan"",""specificity"":""medium""},{""field"":""family_structure"",""value"":""caregiver older parent"",""evidence"":""caregiver for an older parent"",""specificity"":""medium""}],""exposed_domains"":[""hr"",""legal""],""summary"":""Multiple records expose matching work, health, caregiving contexts.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c1_direct_redaction,C1 direct redaction,P0029,T3,5,1,2,P0029,1,True,True,0.86,False,3,3,3,3,0,1,0.1,"[{""evidence"": ""after Saturday dialysis"", ""field"": ""medical_context"", ""specificity"": ""high"", ""value"": ""Saturday dialysis""}, {""evidence"": ""community college lab manager"", ""field"": ""occupation"", ""specificity"": ""high"", ""value"": ""community college lab manager""}, {""evidence"": ""county hearing about hospital staffing"", ""field"": ""rare_event"", ""specificity"": ""high"", ""value"": ""county hospital staffing testimony""}]","[""benefits appeal"", ""Saturday dialysis"", ""lab manager""]","[""legal"", ""hr""]","Multiple documents match distinctive work, medical, and legal contexts.","{""likely_same_person"":true,""confidence"":0.86,""uncertain"":false,""inferred_contexts"":[""benefits appeal"",""Saturday dialysis"",""lab manager""],""sensitive_contexts"":[{""field"":""medical_context"",""value"":""Saturday dialysis"",""evidence"":""after Saturday dialysis"",""specificity"":""high""},{""field"":""occupation"",""value"":""community college lab manager"",""evidence"":""community college lab manager"",""specificity"":""high""},{""field"":""rare_event"",""value"":""county hospital staffing testimony"",""evidence"":""county hearing about hospital staffing"",""specificity"":""high""}],""exposed_domains"":[""legal"",""hr""],""summary"":""Multiple documents match distinctive work, medical, and legal contexts.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c1b_presidio_redaction,C1b Presidio redaction,P0026,T3,5,1,3,P0026,1,True,True,0.86,False,3,3,3,3,0,3,0.3,"[{""evidence"": ""job is dialysis technician"", ""field"": ""occupation"", ""specificity"": ""high"", ""value"": ""dialysis technician""}, {""evidence"": ""migraine treatment plan"", ""field"": ""medical_context"", ""specificity"": ""high"", ""value"": ""migraine treatment plan""}, {""evidence"": ""caregiver for an older parent"", ""field"": ""family_structure"", ""specificity"": ""high"", ""value"": ""caregiver older parent""}]","[""dialysis technician"", ""nursing program"", ""benefits appeal""]","[""hr"", ""legal""]",Documents strongly match sensitive synthetic profile.,"{""likely_same_person"":true,""confidence"":0.86,""uncertain"":false,""inferred_contexts"":[""dialysis technician"",""nursing program"",""benefits appeal""],""sensitive_contexts"":[{""field"":""occupation"",""value"":""dialysis technician"",""evidence"":""job is dialysis technician"",""specificity"":""high""},{""field"":""medical_context"",""value"":""migraine treatment plan"",""evidence"":""migraine treatment plan"",""specificity"":""high""},{""field"":""family_structure"",""value"":""caregiver older parent"",""evidence"":""caregiver for an older parent"",""specificity"":""high""}],""exposed_domains"":[""hr"",""legal""],""summary"":""Documents strongly match sensitive synthetic profile.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c1b_presidio_redaction,C1b Presidio redaction,P0029,T3,5,1,2,P0029,1,True,True,0.88,False,3,3,3,3,0,2,0.2,"[{""evidence"": ""community college lab manager"", ""field"": ""occupation"", ""specificity"": ""high"", ""value"": ""community college lab manager""}, {""evidence"": ""dialysis, diabetes medication management"", ""field"": ""medical_context"", ""specificity"": ""high"", ""value"": ""dialysis diabetes medication""}, {""evidence"": ""testified at county hearing"", ""field"": ""rare_event"", ""specificity"": ""high"", ""value"": ""county hearing testimony""}]","[""benefits appeal"", ""logistics warehouse"", ""dialysis""]","[""legal"", ""hr""]","Strong overlap on work, medical, legal contexts.","{""likely_same_person"":true,""confidence"":0.88,""uncertain"":false,""inferred_contexts"":[""benefits appeal"",""logistics warehouse"",""dialysis""],""sensitive_contexts"":[{""field"":""occupation"",""value"":""community college lab manager"",""evidence"":""community college lab manager"",""specificity"":""high""},{""field"":""medical_context"",""value"":""dialysis diabetes medication"",""evidence"":""dialysis, diabetes medication management"",""specificity"":""high""},{""field"":""rare_event"",""value"":""county hearing testimony"",""evidence"":""testified at county hearing"",""specificity"":""high""}],""exposed_domains"":[""legal"",""hr""],""summary"":""Strong overlap on work, medical, legal contexts.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c4_doc_local_anon,C4 doc-local proxy,P0026,T3,5,1,3,P0026,1,True,True,0.82,False,3,3,3,3,0,3,0.3,"[{""evidence"": ""job is dialysis technician"", ""field"": ""occupation"", ""specificity"": ""high"", ""value"": ""dialysis technician""}, {""evidence"": ""migraine treatment plan"", ""field"": ""medical_context"", ""specificity"": ""high"", ""value"": ""migraine treatment plan""}, {""evidence"": ""caregiver for an older parent"", ""field"": ""family_structure"", ""specificity"": ""high"", ""value"": ""caregiver older parent""}]","[""dialysis technician"", ""night shifts"", ""migraine treatment plan""]","[""legal"", ""hr""]","Records expose work, medical, caregiving contexts.","{""likely_same_person"":true,""confidence"":0.82,""uncertain"":false,""inferred_contexts"":[""dialysis technician"",""night shifts"",""migraine treatment plan""],""sensitive_contexts"":[{""field"":""occupation"",""value"":""dialysis technician"",""evidence"":""job is dialysis technician"",""specificity"":""high""},{""field"":""medical_context"",""value"":""migraine treatment plan"",""evidence"":""migraine treatment plan"",""specificity"":""high""},{""field"":""family_structure"",""value"":""caregiver older parent"",""evidence"":""caregiver for an older parent"",""specificity"":""high""}],""exposed_domains"":[""legal"",""hr""],""summary"":""Records expose work, medical, caregiving contexts.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c4_doc_local_anon,C4 doc-local proxy,P0029,T3,5,1,2,P0029,1,True,True,0.77,True,3,3,3,3,0,1,0.1,"[{""evidence"": ""after Saturday dialysis"", ""field"": ""medical_context"", ""specificity"": ""high"", ""value"": ""Saturday dialysis""}, {""evidence"": ""community college lab manager"", ""field"": ""occupation"", ""specificity"": ""high"", ""value"": ""community college lab manager""}, {""evidence"": ""county hearing about hospital staffing"", ""field"": ""rare_event"", ""specificity"": ""high"", ""value"": ""hospital staffing testimony""}]","[""Saturday dialysis"", ""benefits appeal"", ""hospital staffing hearing""]","[""legal"", ""hr""]",Multiple matching sensitive contexts across records,"{""likely_same_person"":true,""confidence"":0.77,""uncertain"":true,""inferred_contexts"":[""Saturday dialysis"",""benefits appeal"",""hospital staffing hearing""],""sensitive_contexts"":[{""field"":""medical_context"",""value"":""Saturday dialysis"",""evidence"":""after Saturday dialysis"",""specificity"":""high""},{""field"":""occupation"",""value"":""community college lab manager"",""evidence"":""community college lab manager"",""specificity"":""high""},{""field"":""rare_event"",""value"":""hospital staffing testimony"",""evidence"":""county hearing about hospital staffing"",""specificity"":""high""}],""exposed_domains"":[""legal"",""hr""],""summary"":""Multiple matching sensitive contexts across records""}"
gpt-5.5,gpt55_rag_12t3_batch03,c5_linkguard,C5 LinkGuard,P0026,T3,5,0,0,P0011,0,True,False,0.2,True,3,3,0,2,0,0,0.0,"[{""evidence"": ""Subject: benefits appeal"", ""field"": ""legal_context"", ""specificity"": ""medium"", ""value"": ""benefits appeal""}, {""evidence"": ""connected to legal context"", ""field"": ""legal_context"", ""specificity"": ""low"", ""value"": ""legal context""}, {""evidence"": ""after a local event"", ""field"": ""rare_event"", ""specificity"": ""low"", ""value"": ""local event""}]","[""benefits appeal"", ""legal context"", ""local event""]","[""legal""]",Generic legal benefits appeal records.,"{""likely_same_person"":false,""confidence"":0.2,""uncertain"":true,""inferred_contexts"":[""benefits appeal"",""legal context"",""local event""],""sensitive_contexts"":[{""field"":""legal_context"",""value"":""benefits appeal"",""evidence"":""Subject: benefits appeal"",""specificity"":""medium""},{""field"":""legal_context"",""value"":""legal context"",""evidence"":""connected to legal context"",""specificity"":""low""},{""field"":""rare_event"",""value"":""local event"",""evidence"":""after a local event"",""specificity"":""low""}],""exposed_domains"":[""legal""],""summary"":""Generic legal benefits appeal records.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c5_linkguard,C5 LinkGuard,P0029,T3,5,1,1,P0011,0,True,False,0.31,True,3,3,0,2,1,0,0.0,"[{""evidence"": ""Subject: benefits appeal"", ""field"": ""legal_context"", ""specificity"": ""medium"", ""value"": ""benefits appeal""}, {""evidence"": ""harder after a local event"", ""field"": ""coarse_context"", ""specificity"": ""low"", ""value"": ""local event hardship""}, {""evidence"": ""after availability constraint"", ""field"": ""schedule_pattern"", ""specificity"": ""low"", ""value"": ""availability constraint""}]","[""benefits appeal"", ""legal context"", ""availability constraint""]","[""legal""]",Generic legal benefits appeal records only,"{""likely_same_person"":false,""confidence"":0.31,""uncertain"":true,""inferred_contexts"":[""benefits appeal"",""legal context"",""availability constraint""],""sensitive_contexts"":[{""field"":""legal_context"",""value"":""benefits appeal"",""evidence"":""Subject: benefits appeal"",""specificity"":""medium""},{""field"":""coarse_context"",""value"":""local event hardship"",""evidence"":""harder after a local event"",""specificity"":""low""},{""field"":""schedule_pattern"",""value"":""availability constraint"",""evidence"":""after availability constraint"",""specificity"":""low""}],""exposed_domains"":[""legal""],""summary"":""Generic legal benefits appeal records only""}"
gpt-5.5,gpt55_rag_12t3_batch03,c6_aggressive_redaction,C6 aggressive redaction,P0026,T3,5,0,0,P0103,0,True,False,0.1,True,3,3,0,2,1,0,0.0,"[{""evidence"": ""submitting an HR request"", ""field"": ""coarse_context"", ""specificity"": ""low"", ""value"": ""HR request""}, {""evidence"": ""context includes [SCHEDULE]"", ""field"": ""schedule_pattern"", ""specificity"": ""low"", ""value"": ""schedule context""}, {""evidence"": ""[MEDICAL_CONTEXT]"", ""field"": ""medical_context"", ""specificity"": ""low"", ""value"": ""medical context""}]","[""HR request"", ""role at institution"", ""schedule medical affiliation""]","[""hr""]",Only generic HR template placeholders exposed.,"{""likely_same_person"":false,""confidence"":0.1,""uncertain"":true,""inferred_contexts"":[""HR request"",""role at institution"",""schedule medical affiliation""],""sensitive_contexts"":[{""field"":""coarse_context"",""value"":""HR request"",""evidence"":""submitting an HR request"",""specificity"":""low""},{""field"":""schedule_pattern"",""value"":""schedule context"",""evidence"":""context includes [SCHEDULE]"",""specificity"":""low""},{""field"":""medical_context"",""value"":""medical context"",""evidence"":""[MEDICAL_CONTEXT]"",""specificity"":""low""}],""exposed_domains"":[""hr""],""summary"":""Only generic HR template placeholders exposed.""}"
gpt-5.5,gpt55_rag_12t3_batch03,c6_aggressive_redaction,C6 aggressive redaction,P0029,T3,5,0,0,P0006,0,True,False,0.23,True,3,3,0,3,0,0,0.0,"[{""evidence"": ""availability constraint"", ""field"": ""schedule_pattern"", ""specificity"": ""low"", ""value"": ""availability constraint""}, {""evidence"": ""health issue"", ""field"": ""medical_context"", ""specificity"": ""low"", ""value"": ""health issue""}, {""evidence"": ""community activity"", ""field"": ""hobby_or_affiliation"", ""specificity"": ""low"", ""value"": ""community activity""}]","[""availability constraint"", ""health issue"", ""community activity""]","[""hr""]",Generic HR records with limited matching context,"{""likely_same_person"":false,""confidence"":0.23,""uncertain"":true,""inferred_contexts"":[""availability constraint"",""health issue"",""community activity""],""sensitive_contexts"":[{""field"":""schedule_pattern"",""value"":""availability constraint"",""evidence"":""availability constraint"",""specificity"":""low""},{""field"":""medical_context"",""value"":""health issue"",""evidence"":""health issue"",""specificity"":""low""},{""field"":""hobby_or_affiliation"",""value"":""community activity"",""evidence"":""community activity"",""specificity"":""low""}],""exposed_domains"":[""hr""],""summary"":""Generic HR records with limited matching context""}"
